,Initiator,Action,Target,Outcome,ServiceProviderName,Claims,UserName,Profile,Filter,Roles
0,wso2.system.user,Get-User-Claim-Values,pranaya,"Success
",apim_devportal,{},admin,default,,
1,wso2.system.user,Get-Roles-of-User,pranaya,"Success
",apim_devportal,,admin,,*,"['Internal/subscriber', 'Internal/everyone', 'Internal/selfsignup']"
2,wso2.system.user,Get-User-Claim-Values,admin,"Success
",apim_devportal,{},admin,default,,
3,wso2.system.user,Get-User-Claim-Values,admin,"Success
",,{},admin,default,,
4,wso2.system.user,Get-User-Claim-Values,admin,"Success
",apim_devportal,{},admin,default,,
5,wso2.system.user,Get-Roles-of-User,pranaya,"Success
",apim_devportal,,admin,,*,"['Internal/subscriber', 'Internal/everyone', 'Internal/selfsignup']"
6,wso2.system.user,Get-User-Claim-Values,admin,"Success
",apim_devportal,{},admin,default,,
7,wso2.system.user,Get-User-Claim-Values,admin,"Success
",,{},,default,,
8,wso2.system.user,Get-Roles-of-User,admin,"Success
",,,,,*,"['Internal/subscriber', 'Internal/creator', 'Application/apim_devportal', 'Internal/publisher', 'Internal/everyone', 'Application/apim_admin_portal', 'Internal/devops', 'admin', 'Internal/analytics', 'Application/admin_83868ea8-7c7a-459c-828c-f29df1f9dcb3_PRODUCTION', 'Application/apim_publisher', 'Application/admin_83868ea8-7c7a-459c-828c-f29df1f9dcb3_SANDBOX']"
9,wso2.system.user,Get-User-Claim-Values,pranaya,"Success
",apim_devportal,{},admin,default,,
10,wso2.system.user,Get-Roles-of-User,pranaya,"Success
",apim_devportal,,admin,,*,"['Internal/subscriber', 'Internal/everyone', 'Internal/selfsignup']"
11,wso2.system.user,Get-User-Claim-Values,admin,"Success
",apim_devportal,{},admin,default,,
12,wso2.system.user,Get-User-Claim-Values,pranaya,"Success
",apim_devportal,{},admin,default,,
13,wso2.system.user,Get-Roles-of-User,pranaya,"Success
",apim_devportal,,admin,,*,"['Internal/subscriber', 'Internal/everyone', 'Internal/selfsignup']"
