Host,Time Stamp,Method,Endpoint,Protocol,Status Code,Content Size
128.199.32.45,14/Feb/2023:09:47:38,GET,/ab2g,HTTP/1.1,404,146.0
128.199.32.45,14/Feb/2023:09:47:39,GET,/ab2h,HTTP/1.1,404,146.0
128.199.32.45,14/Feb/2023:09:47:43,GET,/,HTTP/1.1,200,5952.0
128.199.32.45,14/Feb/2023:09:47:44,GET,/,HTTP/1.1,400,650.0
128.199.32.45,14/Feb/2023:09:47:44,GET,/private/api/v1/service/premaster,HTTP/1.1,400,650.0
34.76.158.233,14/Feb/2023:09:57:09,GET,/,HTTP/1.1,400,248.0
114.119.136.190,14/Feb/2023:11:00:18,GET,/robots.txt,HTTP/1.1,404,146.0
66.249.75.34,14/Feb/2023:11:20:38,GET,/apim/logincontext?sessionDataKey=a22a3a23-c6d8-47f6-bb0d-60394b6fbf9a&relyingParty=QT0IGbHJyodoAAlOB3skkaFkXoEa&tenantDomain=carbon.super,HTTP/1.1,200,20.0
45.134.144.119,14/Feb/2023:11:42:52,GET,///remote/fgt_lang?lang=/../../../..//////////dev/,HTTP/1.1,404,146.0
117.187.173.43,14/Feb/2023:11:53:34,GET,/,HTTP/1.1,400,248.0
117.187.173.43,14/Feb/2023:11:53:47,GET,/,HTTP/1.1,200,5952.0
192.241.233.4,14/Feb/2023:11:54:59,GET,/,HTTP/1.1,200,5952.0
66.249.75.37,14/Feb/2023:12:05:38,GET,/documentation.html,HTTP/1.1,200,548.0
66.249.75.62,14/Feb/2023:12:05:42,GET,/swagger-api-spec.yaml,HTTP/1.1,200,62298.0
113.142.131.55,14/Feb/2023:12:10:17,GET,/,HTTP/1.1,200,5952.0
173.249.8.100,14/Feb/2023:12:11:22,GET,/api/v2/cmdb/system/admin/admin,HTTP/1.0,301,162.0
195.37.190.89,14/Feb/2023:12:18:20,GET,/sockjs/244/ewogzjot/websocket,HTTP/1.1,400,248.0
192.241.218.44,14/Feb/2023:12:31:08,GET,/,HTTP/1.1,400,248.0
193.118.53.194,14/Feb/2023:12:52:41,GET,/,HTTP/1.1,200,5952.0
94.102.61.10,14/Feb/2023:12:53:47,GET,/,HTTP/1.1,200,5952.0
5.255.109.233,14/Feb/2023:13:26:41,GET,/,HTTP/1.1,200,5952.0
10.180.6.83,14/Feb/2023:13:29:55,GET,/,HTTP/1.1,200,5952.0
10.180.6.83,14/Feb/2023:13:29:55,GET,/assets/vendor/bootstrap/css/bootstrap.min.css,HTTP/1.1,200,161409.0
