Host,Date,Time,Method,Endpoint,Protocol,Status Code,Content Size,No of Requests
2050150420,16-Feb-23,14:07:11,4,/assets/vendor/boxicons/fonts/boxicons.woff2,HTTP/1.1,0,93260,282
2050150420,16-Feb-23,14:07:12,4,/assets/vendor/remixicon/remixicon.woff2?t=1590207869815,HTTP/1.1,0,125268,282
2050150420,16-Feb-23,14:07:12,4,/images/image1.jpg,HTTP/1.1,0,442343,282
2050150420,16-Feb-23,14:07:13,4,/assets/img/favicon.png,HTTP/1.1,0,491,282
2050150420,16-Feb-23,14:14:28,4,/apim/devportal,HTTP/1.1,3,162,282
2050150420,16-Feb-23,14:14:28,4,/apim/devportal/,HTTP/1.1,0,979,282
2050150420,16-Feb-23,14:14:28,4,/apim/devportal/site/public/css/main.css,HTTP/1.1,0,1697,282
2050150420,16-Feb-23,14:14:28,4,/apim/devportal/site/public/theme/userTheme.js,HTTP/1.1,0,305,282
2050150420,16-Feb-23,14:14:28,4,/apim/devportal/site/public/fonts/iconfont/material-icons.css,HTTP/1.1,0,970,282
2050150420,16-Feb-23,14:14:28,4,/apim/devportal/site/public/css/overrides.css,HTTP/1.1,0,0,282
2050150420,16-Feb-23,14:14:28,4,/apim/devportal/services/settings/settings.js,HTTP/1.1,0,998,282
2050150420,16-Feb-23,14:14:28,4,/apim/devportal/site/public/fonts/iconfont/MaterialIcons.js,HTTP/1.1,0,6615,282
2050150420,16-Feb-23,14:14:28,4,/apim/devportal/site/public/theme/userTheme.js,HTTP/1.1,0,305,282
2050150420,16-Feb-23,14:14:29,4,/apim/devportal/site/public/dist/index.4d8ef87846e92153c06c.bundle.js,HTTP/1.1,0,267123,282
2050150420,16-Feb-23,14:14:29,4,/apim/devportal/services/settings/settings.js,HTTP/1.1,0,998,282
2050150420,16-Feb-23,14:14:29,4,/apim/devportal/site/public/fonts/iconfont/MaterialIcons.js,HTTP/1.1,0,6615,282
2050150420,16-Feb-23,14:14:29,4,/apim/devportal/site/public/locales/en.json,HTTP/1.1,0,44152,282
2050150420,16-Feb-23,14:14:29,4,/api/am/devportal/v2/swagger.yaml,HTTP/1.1,0,22493,282
2050150420,16-Feb-23,14:14:29,4,/apim/devportal/site/public/images/_favicon.ico,HTTP/1.1,0,1150,282
2050150420,16-Feb-23,14:14:29,4,/apim/devportal/site/public/images/favicon.ico,HTTP/1.1,0,162098,282
2050150420,16-Feb-23,14:14:30,4,/apim/devportal/site/public/dist/index.4d8ef87846e92153c06c.bundle.js,HTTP/1.1,0,267123,282
2050150420,16-Feb-23,14:14:31,4,/api/am/devportal/v2/settings,HTTP/1.1,0,646,282
2050150420,16-Feb-23,14:14:31,4,/apim/devportal/site/public/dist/ProtectedApp.824ba3b4b8e9a2967729.bundle.js,HTTP/1.1,0,70518,282
